### DATA:
#
# 2167
#      Q             I(Q)           Error     
9.03577628E-02  7.49443821E-02  7.64377303E-03
9.08006238E-02  6.59297421E-02  6.83150394E-03
9.12434838E-02  5.85628268E-02  6.88407575E-03
9.16863428E-02  6.82733382E-02  7.70658248E-03
9.21292007E-02  5.89313899E-02  6.64715985E-03
9.25720576E-02  6.13696734E-02  6.90800903E-03
9.30149135E-02  7.16698988E-02  7.12245298E-03
9.34577684E-02  6.60456547E-02  6.84667900E-03
9.39006222E-02  7.86191503E-02  7.58971060E-03
9.43434749E-02  7.07084337E-02  7.45359063E-03
9.47863266E-02  9.00605022E-02  8.22466477E-03
9.52291772E-02  5.81771432E-02  6.60928604E-03
9.56720268E-02  7.08338801E-02  7.26617902E-03
9.61148753E-02  7.19729343E-02  7.04391380E-03
9.65577227E-02  6.27065767E-02  6.98589704E-03
9.70005691E-02  7.95081898E-02  7.41558026E-03
9.74434143E-02  7.73400377E-02  7.32595380E-03
9.78862585E-02  7.81086621E-02  7.53238871E-03
9.83291016E-02  8.14906071E-02  7.64894208E-03
9.87719435E-02  6.76122687E-02  6.92437614E-03
9.92147844E-02  7.61457942E-02  7.14824495E-03
9.96576242E-02  7.66764953E-02  7.54302990E-03
1.00100463E-01  6.74414033E-02  6.93777521E-03
1.00543300E-01  7.41810312E-02  7.51715668E-03
1.00986137E-01  7.57869383E-02  7.21504425E-03
1.01428972E-01  6.95458979E-02  7.03800161E-03
1.01871806E-01  5.57362603E-02  6.37746078E-03
1.02314639E-01  7.64192804E-02  7.33900107E-03
1.02757471E-01  6.88981615E-02  7.06375684E-03
1.03200302E-01  7.00011491E-02  6.99030296E-03
1.03643131E-01  6.48412757E-02  6.67075838E-03
1.04085960E-01  7.20518159E-02  6.94569277E-03
1.04528787E-01  7.43551885E-02  6.95362628E-03
1.04971613E-01  6.38425149E-02  6.47586918E-03
1.05414438E-01  6.75216174E-02  6.93753296E-03
1.05857262E-01  7.75069536E-02  7.00828254E-03
1.06300084E-01  6.90186991E-02  6.83463139E-03
1.06742906E-01  8.16680038E-02  7.20582880E-03
1.07185726E-01  7.62606747E-02  7.34044165E-03
1.07628545E-01  8.53550226E-02  7.60180184E-03
1.08071362E-01  8.05769890E-02  7.14716989E-03
1.08514179E-01  6.77246661E-02  6.77753920E-03
1.08956994E-01  8.79109350E-02  7.26007458E-03
1.09399808E-01  8.81229687E-02  7.55705798E-03
1.09842621E-01  7.20225411E-02  7.05434360E-03
1.10285433E-01  7.42030844E-02  7.22008948E-03
1.10728243E-01  6.89754263E-02  6.49840486E-03
1.11171053E-01  7.94122850E-02  7.15460948E-03
1.11613861E-01  8.35838606E-02  7.41079219E-03
1.12056667E-01  8.42110247E-02  7.45493349E-03
1.12499473E-01  8.23415699E-02  7.27430895E-03
1.12942277E-01  8.68647539E-02  6.99055409E-03
1.13385080E-01  8.46277981E-02  7.24521599E-03
1.13827881E-01  8.23269550E-02  7.38851146E-03
1.14270682E-01  9.60621448E-02  7.82465707E-03
1.14713481E-01  8.39926057E-02  7.16467987E-03
1.15156279E-01  9.82202123E-02  7.93538731E-03
1.15599075E-01  8.29689487E-02  7.18537226E-03
1.16041871E-01  9.00704063E-02  7.42064103E-03
1.16484665E-01  8.39804866E-02  7.33353221E-03
1.16927457E-01  9.39512359E-02  7.75390551E-03
1.17370249E-01  9.21843927E-02  7.43947185E-03
1.17813039E-01  9.65737032E-02  7.76226267E-03
1.18255827E-01  8.05716499E-02  7.04318298E-03
1.18698615E-01  8.82481682E-02  7.19772561E-03
1.19141401E-01  7.34286168E-02  6.59314089E-03
1.19584186E-01  8.71326429E-02  7.21581512E-03
1.20026969E-01  8.62740680E-02  7.18900640E-03
1.20469751E-01  9.61178070E-02  7.89795009E-03
1.20912532E-01  9.13856488E-02  7.54192954E-03
1.21355311E-01  9.48397888E-02  7.51726211E-03
1.21798089E-01  1.06960730E-01  8.17755452E-03
1.22240866E-01  9.46012644E-02  7.37759641E-03
1.22683641E-01  7.90224555E-02  6.72719637E-03
1.23126415E-01  9.39481144E-02  7.32907439E-03
1.23569187E-01  9.84552786E-02  7.82922967E-03
1.24011959E-01  1.07686230E-01  7.95829461E-03
1.24454728E-01  9.00759360E-02  7.32191830E-03
1.24897497E-01  1.01411447E-01  7.88266106E-03
1.25340264E-01  1.05028821E-01  8.07452590E-03
1.25783029E-01  8.76077200E-02  6.94946435E-03
1.26225793E-01  9.72811023E-02  7.37444994E-03
1.26668556E-01  9.35944617E-02  7.47306815E-03
1.27111318E-01  9.86288181E-02  7.62205635E-03
1.27554077E-01  9.85122139E-02  7.67817471E-03
1.27996836E-01  9.33987388E-02  7.34904115E-03
1.28439593E-01  9.46829909E-02  7.12373122E-03
1.28882349E-01  9.88066389E-02  7.82930718E-03
1.29325103E-01  1.04583252E-01  7.69165812E-03
1.29767856E-01  1.07367157E-01  7.81976197E-03
1.30210607E-01  1.04504537E-01  7.97353963E-03
1.30653357E-01  1.12029167E-01  8.08347448E-03
1.31096105E-01  1.03881379E-01  7.67417503E-03
1.31538852E-01  1.16355547E-01  8.26859159E-03
1.31981598E-01  9.55872678E-02  7.16941279E-03
1.32424342E-01  1.06908824E-01  7.72101712E-03
1.32867084E-01  9.98546492E-02  7.57207563E-03
1.33309825E-01  1.06003765E-01  7.58526306E-03
1.33752565E-01  1.25597648E-01  8.52052124E-03
1.34195303E-01  1.17317942E-01  8.52627433E-03
1.34638039E-01  1.16641501E-01  7.81485099E-03
1.35080774E-01  1.08748847E-01  7.67286502E-03
1.35523508E-01  1.07670057E-01  7.64938942E-03
1.35966240E-01  1.08323493E-01  7.97894934E-03
1.36408970E-01  1.13476833E-01  8.18718043E-03
1.36851699E-01  1.17672648E-01  8.03363159E-03
1.37294427E-01  1.13906925E-01  7.95757928E-03
1.37737152E-01  1.14878707E-01  7.96182884E-03
1.38179877E-01  1.18370978E-01  8.03968613E-03
1.38622600E-01  1.16955290E-01  7.73055588E-03
1.39065321E-01  1.11028309E-01  7.61330846E-03
1.39508041E-01  1.20028008E-01  8.04875880E-03
1.39950759E-01  1.24584561E-01  8.11225515E-03
1.40393475E-01  1.28352613E-01  8.16439370E-03
1.40836190E-01  1.20130194E-01  8.08014398E-03
1.41278904E-01  1.14042289E-01  7.76888944E-03
1.41721616E-01  1.24843740E-01  8.31851914E-03
1.42164326E-01  1.08218002E-01  7.37012756E-03
1.42607035E-01  1.26556910E-01  8.27660158E-03
1.43049742E-01  1.12832804E-01  7.85029056E-03
1.43492447E-01  1.30362481E-01  8.54038172E-03
1.43935151E-01  1.27522836E-01  8.07707710E-03
1.44377853E-01  1.28493214E-01  8.27109670E-03
1.44820554E-01  1.21017716E-01  8.08623315E-03
1.45263253E-01  1.32798752E-01  8.29733342E-03
1.45705951E-01  1.20668177E-01  8.11483513E-03
1.46148646E-01  1.27977397E-01  8.36894350E-03
1.46591341E-01  1.19005522E-01  8.05838025E-03
1.47034033E-01  1.23648051E-01  8.13547531E-03
1.47476724E-01  1.28810120E-01  8.36875257E-03
1.47919413E-01  1.24862928E-01  8.55211265E-03
1.48362101E-01  1.32185992E-01  8.32570025E-03
1.48804787E-01  1.45716431E-01  8.93844415E-03
1.49247471E-01  1.54087903E-01  9.13800006E-03
1.49690154E-01  1.45314244E-01  8.77659776E-03
1.50132835E-01  1.43519103E-01  8.52935564E-03
1.50575514E-01  1.37986484E-01  8.36359121E-03
1.51018191E-01  1.50318544E-01  9.29494596E-03
1.51460867E-01  1.43117133E-01  8.95173095E-03
1.51903541E-01  1.55261983E-01  8.99485992E-03
1.52346214E-01  1.41965763E-01  8.73673730E-03
1.52788885E-01  1.49500796E-01  8.96025770E-03
1.53231554E-01  1.46971227E-01  9.01378448E-03
1.53674221E-01  1.40180490E-01  8.75941275E-03
1.54116887E-01  1.50135452E-01  8.94949906E-03
1.54559551E-01  1.53950101E-01  8.99579005E-03
1.55002213E-01  1.52117238E-01  8.98560711E-03
1.55444874E-01  1.49598703E-01  8.84031481E-03
1.55887532E-01  1.54369108E-01  9.06949096E-03
1.56330189E-01  1.53368176E-01  9.16405559E-03
1.56772845E-01  1.57656338E-01  9.61145027E-03
1.57215498E-01  1.57881088E-01  9.37437562E-03
1.57658150E-01  1.52416627E-01  9.00791497E-03
1.58100800E-01  1.63482741E-01  9.14207212E-03
1.58543448E-01  1.64879142E-01  9.23500705E-03
1.58986094E-01  1.63826352E-01  9.11798757E-03
1.59428739E-01  1.65384582E-01  9.11122337E-03
1.59871382E-01  1.62186177E-01  9.21284096E-03
1.60314023E-01  1.73780754E-01  9.52387060E-03
1.60756662E-01  1.65787735E-01  9.43253085E-03
1.61199300E-01  1.69688029E-01  9.55162685E-03
1.61641936E-01  1.58736389E-01  9.26102062E-03
1.62084570E-01  1.55102688E-01  8.92163517E-03
1.62527202E-01  1.67125722E-01  9.46685782E-03
1.62969832E-01  1.75047052E-01  1.00268041E-02
1.63412460E-01  1.76199122E-01  9.95514733E-03
1.63855087E-01  1.81219285E-01  9.66700771E-03
1.64297712E-01  1.74486858E-01  9.66942891E-03
1.64740335E-01  1.73849877E-01  9.29287025E-03
1.65182956E-01  1.55451206E-01  8.97316134E-03
1.65625575E-01  1.83524552E-01  9.86454018E-03
1.66068193E-01  1.74711311E-01  9.69388009E-03
1.66510808E-01  1.91754835E-01  1.05909515E-02
1.66953422E-01  1.78522333E-01  9.65381115E-03
1.67396034E-01  1.90355398E-01  1.02224684E-02
1.67838644E-01  1.93540410E-01  1.03549358E-02
1.68281252E-01  1.90701692E-01  9.97897458E-03
1.68723858E-01  1.92831451E-01  1.02608251E-02
1.69166463E-01  1.95253550E-01  1.02499107E-02
1.69609065E-01  1.78111276E-01  9.52126670E-03
1.70051666E-01  1.89777976E-01  9.97208664E-03
1.70494264E-01  1.84283061E-01  1.00153044E-02
1.70936861E-01  1.93396448E-01  1.02949544E-02
1.71379456E-01  2.18994298E-01  1.15610769E-02
1.71822049E-01  1.96298544E-01  1.07880699E-02
1.72264640E-01  1.82726275E-01  1.02393670E-02
1.72707229E-01  2.00885476E-01  1.08762952E-02
1.73149816E-01  1.91938819E-01  9.90191607E-03
1.73592402E-01  1.99401775E-01  1.03836893E-02
1.74034985E-01  1.99586512E-01  1.06851522E-02
1.74477566E-01  2.11874722E-01  1.09591490E-02
1.74920146E-01  2.02694567E-01  1.07309588E-02
1.75362723E-01  2.09574924E-01  1.06150232E-02
1.75805299E-01  2.15827127E-01  1.12265825E-02
1.76247872E-01  2.38246922E-01  1.16670165E-02
1.76690444E-01  2.13853573E-01  1.07752119E-02
1.77133013E-01  2.14197562E-01  1.11432773E-02
1.77575581E-01  2.11581522E-01  1.09831911E-02
1.78018147E-01  2.30212881E-01  1.15835049E-02
1.78460710E-01  2.27299864E-01  1.11688419E-02
1.78903272E-01  2.31172734E-01  1.15523320E-02
1.79345832E-01  2.43176817E-01  1.20966409E-02
1.79788389E-01  2.29159978E-01  1.12598328E-02
1.80230945E-01  2.40375918E-01  1.21928113E-02
1.80673498E-01  2.38372450E-01  1.16016544E-02
1.81116050E-01  2.24130262E-01  1.14596541E-02
1.81558600E-01  2.12340141E-01  1.09169800E-02
1.82001147E-01  2.52228631E-01  1.25139922E-02
1.82443693E-01  2.46829062E-01  1.23386921E-02
1.82886236E-01  2.33681701E-01  1.19187033E-02
1.83328778E-01  2.41019727E-01  1.20576322E-02
1.83771317E-01  2.70122587E-01  1.27683587E-02
1.84213854E-01  2.67733002E-01  1.25426835E-02
1.84656390E-01  2.65728736E-01  1.32228503E-02
1.85098923E-01  2.58438137E-01  1.25553916E-02
1.85541454E-01  2.75023255E-01  1.29788720E-02
1.85983983E-01  2.69932921E-01  1.29667724E-02
1.86426510E-01  2.45414568E-01  1.22528493E-02
1.86869035E-01  2.70568413E-01  1.32329667E-02
1.87311558E-01  2.61695154E-01  1.28005478E-02
1.87754079E-01  2.60453486E-01  1.30585616E-02
1.88196598E-01  2.67100353E-01  1.28385866E-02
1.88639114E-01  2.66196855E-01  1.29351375E-02
1.89081629E-01  2.65478459E-01  1.29198818E-02
1.89524141E-01  2.86741307E-01  1.33348742E-02
1.89966651E-01  2.72388241E-01  1.33402820E-02
1.90409159E-01  2.73685112E-01  1.33539487E-02
1.90851665E-01  2.85469523E-01  1.35558835E-02
1.91294169E-01  2.88973026E-01  1.31931520E-02
1.91736671E-01  2.91889009E-01  1.40135091E-02
1.92179170E-01  2.96430273E-01  1.42067158E-02
1.92621668E-01  3.02726271E-01  1.44749770E-02
1.93064163E-01  2.88785988E-01  1.40497896E-02
1.93506656E-01  2.93222735E-01  1.38189933E-02
1.93949147E-01  2.89407607E-01  1.38673804E-02
1.94391636E-01  3.11160829E-01  1.44913796E-02
1.94834123E-01  3.03776103E-01  1.45002230E-02
1.95276607E-01  3.11867825E-01  1.44336015E-02
1.95719089E-01  3.29959776E-01  1.53732839E-02
1.96161569E-01  3.27571200E-01  1.58281953E-02
1.96604047E-01  3.23099985E-01  1.49008209E-02
1.97046523E-01  3.07925311E-01  1.42843527E-02
1.97488996E-01  3.45412462E-01  1.55637660E-02
1.97931468E-01  3.37877874E-01  1.55226747E-02
1.98373937E-01  3.22696333E-01  1.53478579E-02
1.98816404E-01  3.44525442E-01  1.57335557E-02
1.99258868E-01  3.37114197E-01  1.54225425E-02
1.99701331E-01  3.38644906E-01  1.58650297E-02
2.00143791E-01  3.35141556E-01  1.52571372E-02
2.00586249E-01  3.51525819E-01  1.67044445E-02
2.01028705E-01  3.71919884E-01  1.72629892E-02
2.01471158E-01  3.51393935E-01  1.64120055E-02
2.01913609E-01  3.53913328E-01  1.65783889E-02
2.02356058E-01  3.61904404E-01  1.62858726E-02
2.02798505E-01  3.51523952E-01  1.62609480E-02
2.03240950E-01  3.55127709E-01  1.64902473E-02
2.03683392E-01  3.51046722E-01  1.68249619E-02
2.04125832E-01  3.67406974E-01  1.69815022E-02
2.04568269E-01  3.67250300E-01  1.70757124E-02
2.05010705E-01  3.81723390E-01  1.70597330E-02
2.05453138E-01  3.75086849E-01  1.69219189E-02
2.05895569E-01  3.81092964E-01  1.75787501E-02
2.06337997E-01  3.89443668E-01  1.75008507E-02
2.06780423E-01  3.94537990E-01  1.78263440E-02
2.07222847E-01  4.08525255E-01  1.80915631E-02
2.07665269E-01  3.96312980E-01  1.78898734E-02
2.08107688E-01  4.15227133E-01  1.87021479E-02
2.08550105E-01  4.07806790E-01  1.87085841E-02
2.08992519E-01  4.14280039E-01  1.91456616E-02
2.09434932E-01  4.36876340E-01  2.01567232E-02
2.09877342E-01  4.29858100E-01  1.95995914E-02
2.10319749E-01  4.25781526E-01  1.92604495E-02
2.10762154E-01  4.34676316E-01  1.99109902E-02
2.11204557E-01  4.45802644E-01  2.00506880E-02
2.11646958E-01  4.48543660E-01  2.06239940E-02
2.12089356E-01  4.20169577E-01  1.96208671E-02
2.12531752E-01  4.44841968E-01  1.98597786E-02
2.12974145E-01  4.56629796E-01  2.07618475E-02
2.13416536E-01  4.52025263E-01  2.05354217E-02
2.13858925E-01  4.52356306E-01  2.05305906E-02
2.14301311E-01  4.55156176E-01  2.08926010E-02
2.14743695E-01  4.87934541E-01  2.15151417E-02
2.15186076E-01  4.81073778E-01  2.20877223E-02
2.15628455E-01  4.74638518E-01  2.08889193E-02
2.16070832E-01  4.73024880E-01  2.13995295E-02
2.16513206E-01  4.64590311E-01  2.17065479E-02
2.16955578E-01  5.02199700E-01  2.27946132E-02
2.17397948E-01  4.96000975E-01  2.26955117E-02
2.17840315E-01  5.14101201E-01  2.29069563E-02
2.18282679E-01  4.88704721E-01  2.21799743E-02
2.18725041E-01  5.07449260E-01  2.37761356E-02
2.19167401E-01  5.33909849E-01  2.35530800E-02
2.19609758E-01  5.00589526E-01  2.24937018E-02
2.20052113E-01  5.20527813E-01  2.36751997E-02
2.20494465E-01  5.21823425E-01  2.41452051E-02
2.20936815E-01  5.45128057E-01  2.49122813E-02
2.21379163E-01  5.44040071E-01  2.44017743E-02
2.21821508E-01  5.32689970E-01  2.40428876E-02
2.22263850E-01  5.64349773E-01  2.53548025E-02
2.22706190E-01  5.67885365E-01  2.56397859E-02
2.23148528E-01  5.78400373E-01  2.58385923E-02
2.23590863E-01  5.62866241E-01  2.49982202E-02
2.24033195E-01  5.50416078E-01  2.51024571E-02
2.24475525E-01  5.89308241E-01  2.63131855E-02
2.24917853E-01  5.71716107E-01  2.60530087E-02
2.25360178E-01  6.03607631E-01  2.69989767E-02
2.25802500E-01  5.82157215E-01  2.57251164E-02
2.26244820E-01  6.06376574E-01  2.66286861E-02
2.26687138E-01  6.35041913E-01  2.84004559E-02
2.27129453E-01  6.44118856E-01  2.90885180E-02
2.27571765E-01  6.74796342E-01  3.00293889E-02
2.28014075E-01  6.59534104E-01  2.98878164E-02
